Client,Feature1,Feature2,Feature3,Feature4,Feature5,Label
0,1.0,0.0,-0.68907,0.0,0.0,0
0,1.0,0.0,-0.68907,0.0,0.0,0
0,0.0,0.0,-0.68907,0.0,0.0,0
0,1.0,0.0,-0.68907,0.0,0.0,0
0,0.0,0.0,-0.68907,0.0,0.0,0
0,1.0,0.0,-0.68907,0.0,0.0,0
0,0.0,0.0,-0.68907,0.0,0.0,0
0,0.0,0.0,-0.68907,0.0,0.0,0
0,0.0,0.0,-0.68907,0.0,0.0,0
0,1.0,0.0,-0.68907,0.0,0.0,0
0,1.0,0.0,-0.68907,-1.5378,0.0,1
0,0.0,1.5378,-0.66711,0.0,1.5378,4
0,1.0,3.0756,-0.64516,0.0,0.0,0
0,1.0,4.6133,-0.6232,0.0,0.0,0
0,0.0,6.1511,-0.60124,0.0,0.0,4
0,0.0,7.6889,-0.57928,0.0,0.0,4
0,0.0,9.2267,-0.55732,0.0,0.0,4
0,0.0,10.764,-0.53537,0.0,0.0,4
0,1.0,12.302,-0.51341,0.0,0.0,0
0,0.0,13.84,-0.49144,0.0,0.0,4
0,1.0,15.378,-0.46948,0.0,0.0,0
0,0.0,16.916,-0.44752,0.0,0.0,4
0,1.0,18.453,-0.42557,0.0,0.0,0
0,0.0,19.991,-0.40361,0.0,0.0,4
0,0.0,21.529,-0.38165,0.0,0.0,4
0,0.0,23.067,-0.35969,0.0,0.0,4
0,0.0,24.604,-0.33774,0.0,0.0,4
0,0.0,26.142,-0.31578,0.0,0.0,4
0,1.0,27.68,-0.29381,0.0,0.0,0
0,1.0,28.183,-0.28663,0.0,0.0,0
0,1.0,28.686,-0.27945,0.0,0.0,0
0,1.0,29.189,-0.27227,0.0,0.0,0
0,0.0,29.692,-0.26508,0.0,0.0,4
0,0.0,30.195,-0.2579,0.0,0.0,4
0,0.0,30.698,-0.25072,0.0,0.0,4
0,0.0,31.202,-0.24352,0.0,0.0,4
0,0.0,31.705,-0.23634,0.0,0.0,4
0,0.0,32.208,-0.22916,0.0,0.0,4
0,1.0,32.711,-0.22197,0.0,0.0,0
0,1.0,33.214,-0.21479,0.0,0.0,0
0,0.0,33.717,-0.20761,0.0,0.0,4
0,0.0,34.22,-0.20043,0.0,0.0,4
0,1.0,34.723,-0.19324,0.0,0.0,0
0,0.0,35.226,-0.18606,35.226,0.0,2
0,1.0,0.0,-0.68907,-36.232,-35.226,1
0,0.0,36.232,-0.1717,0.0,36.232,4
0,0.0,36.735,-0.16451,0.0,0.0,4
0,0.0,37.238,-0.15733,0.0,0.0,4
0,0.0,37.742,-0.15013,0.0,0.0,4
0,1.0,38.245,-0.14295,0.0,0.0,0
0,1.0,38.748,-0.13577,0.0,0.0,0
0,0.0,39.251,-0.12859,0.0,0.0,4
0,0.0,39.754,-0.1214,0.0,0.0,4
0,0.0,40.257,-0.11422,0.0,0.0,4
0,0.0,40.76,-0.10704,0.0,0.0,4
0,0.0,41.263,-0.099854,0.0,0.0,4
0,1.0,41.766,-0.092672,0.0,0.0,0
0,0.0,42.269,-0.085489,0.0,0.0,4
0,1.0,42.772,-0.078307,0.0,0.0,0
0,1.0,43.275,-0.071124,0.0,0.0,0
0,1.0,43.778,-0.063941,0.0,0.0,0
0,0.0,44.282,-0.056744,0.0,0.0,4
0,1.0,44.785,-0.049562,0.0,0.0,0
